date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:21	104449/104449	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:20%20GMT	http://www.bing.com/images/search?q=Healthy+Toenails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searchd2bb.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:22	105050/105050	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:21%20GMT	http://www.bing.com/images/search?q=Healthy+Nail+Color&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search1dea.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:23	104364/104364	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:22%20GMT	http://www.bing.com/images/search?q=Nail+Discoloration&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searchd852.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:24	104357/104357	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:23%20GMT	http://www.bing.com/images/search?q=Unhealthy+Nail+Beds&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search5555.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:25	103828/103828	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:24%20GMT	http://www.bing.com/images/search?q=Terry+Nails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search9f1e.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:26	104446/104446	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:25%20GMT	http://www.bing.com/images/search?q=Strong+Nails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searche05e.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:27	104272/104272	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:26%20GMT	http://www.bing.com/images/search?q=White+Nails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search9769.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:29	105386/105386	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:27%20GMT	http://www.bing.com/images/search?q=Vitamins+for+Strong+Nails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searchf602.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:31	6385/6385	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:45:29%20GMT	http://tse3.mm.bing.net/th?id=OIP.xRmlz7cpmWRhOBQ-QX3ZKwEsCK&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse3.mm.bing.net/th21f7.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:33	7171/7171	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:45:32%20GMT	http://tse2.mm.bing.net/th?id=OIP.FksJZPEjpfGdqYI-N3IAqAEsEs&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse2.mm.bing.net/th15bc.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:33	62661/62661	---M--	200	added ('OK')	image/jpeg	etag:%22525acf-f4c5-52dc9b18c06c5%22	http://beautysouthafrica.com/wp-content/uploads/2013/09/fat2fitnew.jpg	/Users/vikranth/Documents/healthy_nails_news/beautysouthafrica.com/wp-content/uploads/2013/09/fat2fitnew.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:36	5128/5128	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:45:33%20GMT	http://tse1.mm.bing.net/th?id=OIP.2cfq3di4jXmzbbD1TRgBZQDHEs&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse1.mm.bing.net/th7fac.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:38	6466/6466	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:45:36%20GMT	http://tse4.mm.bing.net/th?id=OIP.ZdTIIJh9ve4MOxZWyr8h4AEsC7&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse4.mm.bing.net/the4f3.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:54	109419/109419	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202013%2014:39:31%20GMT	http://www.dfiaging.com/beauty-blog/wp-content/uploads/2013/06/bamboo.jpeg	/Users/vikranth/Documents/healthy_nails_news/www.dfiaging.com/beauty-blog/wp-content/uploads/2013/06/bamboo.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:55	8419/8419	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:45:54%20GMT	http://tse3.mm.bing.net/th?id=OIP.bDWTTh9-Ghdu82U2NrC1uwEsEs&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse3.mm.bing.net/th819b.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:01	195265/195265	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202013%2014:32:41%20GMT	http://becomingbeautiful.org/wp-content/uploads/2013/08/Jesus-loves-me1.jpg	/Users/vikranth/Documents/healthy_nails_news/becomingbeautiful.org/wp-content/uploads/2013/08/Jesus-loves-me1.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
